school_id,school_name_minkou,address_minkou,gaccom_id,school_name_gaccom,address_gaccom,addr_score,name_score,match_score
34958,常磐小学校,愛知県 名古屋市中川区 小本１－１５－２ ここに地図が表示されます 地図を見る 地図を閉じる,25254,名古屋市立常磐小学校,愛知県名古屋市中川区小本一丁目１５-２,0.783,1.0,0.848
35060,大高南小学校,愛知県 名古屋市緑区 大高町字阿原３５ ここに地図が表示されます 地図を見る 地図を閉じる,25428,名古屋市立大高北小学校,愛知県名古屋市緑区大高町字町屋川１,0.6,0.667,0.62
35113,つつじが丘小学校,愛知県 豊橋市 佐藤５－１６－１ ここに地図が表示されます 地図を見る 地図を閉じる,24844,豊橋市立つつじが丘小学校,愛知県豊橋市佐藤五丁目１６-１,0.706,1.0,0.794
35202,貴船小学校,愛知県 一宮市 貴船１－８－４６ ここに地図が表示されます 地図を見る 地図を閉じる,24197,一宮市立貴船小学校,愛知県一宮市貴船１丁目８番４６号,0.706,1.0,0.794
35310,【閉校】西藤山台小学校,愛知県 春日井市 藤山台５－８ ここに地図が表示されます 地図を見る 地図を閉じる,24485,春日井市立藤山台小学校,愛知県春日井市藤山台３-２,0.667,0.545,0.63
35532,米野小学校,愛知県 小牧市 中央５－３３９ ここに地図が表示されます 地図を見る 地図を閉じる,24520,小牧市立米野小学校,愛知県小牧市中央五丁目３３９番地,0.625,1.0,0.738
35554,大塚小学校,愛知県 稲沢市 大塚北９－６８ ここに地図が表示されます 地図を見る 地図を閉じる,24268,稲沢市立大塚小学校,愛知県稲沢市大塚北九丁目６８番地,0.625,1.0,0.738
30814,松本小学校,東京都 江戸川区 鹿骨６－９－１ ここに地図が表示されます 地図を見る 地図を閉じる,105638,江戸川区立鹿骨松本小学校,東京都江戸川区鹿骨６-３-５（仮校舎）,0.714,0.667,0.7
30012,明正小学校,東京都 中央区 新川２－１３－４ ここに地図が表示されます 地図を見る 地図を閉じる,4956,中央区立明正小学校,東京都中央区新川二丁目13番４号,0.588,1.0,0.712
94768,有明西学園,東京都 江東区 有明１－７－１３ ここに地図が表示されます 地図を見る 地図を閉じる,41739,江東区立有明小学校,東京都江東区有明２-１０-１,0.625,0.571,0.609
30036,赤羽小学校,東京都 港区 三田１－４－５２ ここに地図が表示されます 地図を見る 地図を閉じる,4964,港区立赤羽小学校,東京都港区三田２-６-２,0.667,1.0,0.767
89392,白金の丘学園,東京都 港区 白金４－１－１２ ここに地図が表示されます 地図を見る 地図を閉じる,86031,港区立白金の丘小学校,東京都港区白金四丁目１番12号,0.588,0.8,0.652
30160,第二大島小学校,東京都 江東区 大島３－１６－２ ここに地図が表示されます 地図を見る 地図を閉じる,5100,江東区立第一大島小学校,東京都江東区大島２-４１-４,0.625,0.75,0.662
88857,伊藤学園,東京都 品川区 大井５－１－３７ ここに地図が表示されます 地図を見る 地図を閉じる,5133,品川区立伊藤小学校,東京都品川区西大井５-６-８,0.625,0.667,0.637
30312,【閉校】北沢小学校,東京都 世田谷区 北沢４－３２－２０ ここに地図が表示されます 地図を見る 地図を閉じる,5253,世田谷区立上北沢小学校,東京都世田谷区上北沢４-２２-２９,0.737,0.444,0.649
30307,城山小学校,東京都 世田谷区 梅丘２－１－１１ ここに地図が表示されます 地図を見る 地図を閉じる,5267,世田谷区立城山小学校,東京都世田谷区梅丘二丁目1番11号,0.588,1.0,0.712
30393,新井小学校,東京都 中野区 新井４－１９－１ ここに地図が表示されます 地図を見る 地図を閉じる,5643,足立区立西新井第二小学校,東京都足立区西新井４-３４-１,0.706,0.571,0.666
31259,中原小学校,東京都 西東京市 ひばりが丘２－６－２５ ここに地図が表示されます 地図を見る 地図を閉じる,6141,西東京市立中原小学校,東京都西東京市ひばりが丘2丁目6番25号,0.783,1.0,0.848
30406,杉並第八小学校,東京都 杉並区 高円寺南２－４０－２４ ここに地図が表示されます 地図を見る 地図を閉じる,5349,杉並区立杉並第三小学校,東京都杉並区高円寺南１-１５-１３,0.545,0.75,0.607
30404,杉並第四小学校,東京都 杉並区 高円寺北２－１４－１３ ここに地図が表示されます 地図を見る 地図を閉じる,5349,杉並区立杉並第三小学校,東京都杉並区高円寺南１-１５-１３,0.727,0.75,0.734
30441,富士見丘小学校,東京都 杉並区 上高井戸２－１６－１３ ここに地図が表示されます 地図を見る 地図を閉じる,5375,杉並区立富士見丘小学校,東京都杉並区久我山2-19-1,0.5,1.0,0.65
30489,十条台小学校,東京都 北区 中十条１－５－６ ここに地図が表示されます 地図を見る 地図を閉じる,102266,北区立十条小学校,東京都北区中十条三丁目1番6号,0.588,0.8,0.652
30655,綾瀬小学校,東京都 足立区 綾瀬３－１２－１５ ここに地図が表示されます 地図を見る 地図を閉じる,5650,足立区立東綾瀬小学校,東京都足立区東綾瀬２-１５-１５,0.737,0.8,0.756
